Y,Z
396,487
396,487
396,487
396,487
396,487
396,487
396,487
396,487
396,487
396,487
396,487
395,487
396,487
395,487
396,487
398,491
396,487
396,487
396,487
396,487
396,487
396,487
395,490
396,487
396,488
396,487
396,487
396,487
396,487
396,486
396,487
396,487
396,487
399,487
405,492
381,487
388,481
396,489
404,497
391,483
390,489
420,507
393,480
388,473
389,471
399,496
391,484
401,498
412,504
405,496
398,495
413,494
416,502
391,474
377,468
400,495
411,498
397,487
405,495
399,491
386,483
412,503
409,499
399,490
400,491
389,486
398,483
391,486
395,482
391,481
394,487
393,485
385,472
394,489
398,486
397,492
398,486
397,492
391,475
395,486
409,507
397,491
392,480
396,489
379,478
394,498
380,467
413,515
392,481
401,501
386,478
405,499
427,517
400,489
395,483
400,481
383,478
400,491
405,491
391,488
404,494
412,501
407,499
407,469
391,483
391,482
402,491
393,483
401,493
409,505
399,495
411,507
399,506
409,506
391,489
404,495
395,489
401,489
393,486
399,487
390,478
392,483
392,480
392,482
386,472
398,486
382,475
421,512
396,485
415,509
394,482
417,508
397,489
402,494
401,496
401,494
395,490
402,494
404,503
402,501
401,492
401,496
403,491
393,489
399,491
396,488
395,484
388,484
408,494
396,481
392,482
393,476
400,496
409,501
412,500
391,481
405,496
396,482
396,488
409,499
399,489
404,499
396,488
404,496
398,499
409,497
396,500
399,491
396,489
406,495
389,480
402,488
389,477
396,481
387,475
399,481
385,475
400,483
394,488
406,491
414,508
407,493
399,492
391,478
416,506
393,499
399,503
414,511
405,501
427,525
404,495
416,512
397,488
396,487
395,485
393,483
397,485
396,480
395,477
394,476
389,486
386,476
396,481
396,489
398,482
395,488
406,497
395,486
409,488
389,476
400,491
393,482
402,491
398,490
395,491
408,498
387,490
399,486
400,492
403,493
401,493
396,493
399,487
395,493
391,475
397,489
385,478
395,475
387,472
398,483
390,471
393,482
412,505
399,486
418,513
389,479
404,492
395,488
401,493
406,502
405,495
418,511
408,503
406,503
403,501
396,494
404,492
391,491
397,490
391,485
392,484
389,478
390,482
386,470
389,484
387,475
387,475
403,498
396,497
408,489
402,498
386,473
405,495
388,476
405,500
394,488
403,493
401,495
399,491
409,501
395,498
407,498
399,498
405,501
396,487
405,487
389,484
394,489
394,475
391,483
390,470
398,491
385,467
397,487
394,479
402,492
416,511
407,477
412,503
389,479
418,512
398,488
404,499
415,503
402,494
417,512
401,497
402,505
407,497
398,487
401,494
395,487
395,489
397,482
396,485
397,490
392,480
394,483
392,477
391,480
401,490
395,488
413,500
406,491
397,484
400,489
401,495
396,489
396,492
401,495
395,488
396,489
399,496
399,494
395,496
402,495
394,488
403,492
387,480
402,490
400,483
397,488
392,487
406,490
394,488
392,485
398,487
398,489
396,487
396,486
395,486
397,487
398,489
397,487
397,487
396,487
397,487
397,488
397,487
396,487
396,487
397,487
400,488
397,487
397,487
396,487
397,487
397,487
397,487
399,490
397,487
397,487
395,478
394,484
397,477
391,482
388,472
402,492
397,485
401,493
408,493
402,489
390,479
403,488
401,492
405,494
407,499
406,503
403,498
398,497
404,498
395,494
405,496
391,490
403,495
395,484
400,493
392,480
399,492
396,480
397,488
386,472
401,488
394,483
405,493
406,495
405,495
400,489
398,491
402,484
404,500
398,487
406,497
397,491
407,500
388,487
408,507
395,490
397,491
396,490
397,493
395,489
392,482
396,487
383,469
398,488
382,471
397,481
390,473
390,480
397,485
408,494
402,490
411,487
393,477
400,491
389,477
398,491
400,495
399,491
404,495
398,496
408,499
396,497
408,500
394,495
408,492
391,490
396,483
394,480
399,481
388,479
403,482
389,475
398,485
383,469
413,500
401,488
405,490
410,500
399,488
401,488
403,496
397,490
396,498
385,481
397,504
406,500
398,496
399,493
402,504
392,488
401,495
399,491
391,484
390,486
397,482
394,484
390,471
396,484
388,474
397,481
394,480
410,497
397,486
420,511
387,472
409,500
388,475
404,501
382,475
409,504
397,489
402,498
414,505
397,494
413,510
393,485
412,502
392,492
403,490
395,486
405,493
393,478
406,491
399,483
396,482
403,480
391,481
406,493
403,493
409,493
392,482
400,486
404,500
393,486
400,493
402,494
419,514
396,492
404,503
405,502
397,495
405,500
390,491
402,496
398,490
406,494
395,484
402,489
389,476
401,488
383,468
414,497
378,464
417,503
397,485
421,506
399,473
407,493
390,481
404,493
385,479
403,500
385,478
407,508
404,495
398,496
408,501
395,489
404,498
394,487
406,498
394,485
403,498
397,480
401,486
393,478
390,473
407,490
388,473
409,496
400,488
408,496
399,491
394,483
390,475
396,488
398,496
390,488
395,497
408,497
399,501
401,497
395,501
408,494
399,493
408,499
387,485
409,495
392,482
404,491
391,481
402,489
391,477
401,484
385,468
406,493
395,481
413,497
394,480
403,490
390,474
404,494
394,487
399,490
394,483
399,498
393,487
397,502
397,488
401,499
410,499
395,495
403,493
403,489
401,494
391,478
400,493
400,475
396,483
390,471
394,484
393,477
399,487
409,498
398,487
398,486
396,482
389,478
396,487
386,479
404,500
400,491
397,494
411,499
396,504
411,501
396,496
415,502
389,490
410,495
389,488
404,485
389,481
399,483
390,477
398,481
391,475
399,483
398,482
410,499
404,491
406,479
392,481
402,489
388,478
404,501
392,484
403,497
400,494
396,499
403,499
396,495
406,496
399,494
404,499
395,491
405,492
396,485
402,492
387,477
396,483
388,471
398,488
378,459
398,489
400,480
402,491
405,489
395,485
404,490
394,479
404,496
399,492
394,484
404,502
392,482
398,486
398,487
400,487
400,491
395,486
396,487
397,487
398,488
398,487
397,486
397,489
397,488
397,487
397,487
397,487
398,486
397,487
397,487
397,488
397,487
397,487
400,491
397,487
397,487
397,487
397,487
397,487
397,487
399,491
400,488
396,501
394,489
394,501
411,498
393,489
411,496
387,490
401,489
389,481
405,493
385,481
398,482
389,478
394,481
392,471
401,493
401,488
407,494
409,496
389,481
397,483
395,490
398,490
392,485
394,484
401,498
393,489
398,502
403,498
396,494
405,498
398,492
397,497
390,483
408,496
392,481
400,487
398,486
395,482
393,477
395,482
389,478
400,492
404,486
404,497
405,475
405,492
388,478
406,496
396,486
403,499
398,491
401,497
395,488
394,499
410,496
396,494
404,496
392,491
400,491
395,483
400,494
391,476
397,483
394,474
398,487
388,472
399,483
400,485
407,495
407,495
402,492
398,482
387,477
396,488
395,488
386,482
389,488
401,495
402,503
394,490
402,501
398,490
398,496
397,490
398,492
387,483
397,485
391,483
390,477
396,485
387,477
395,479
390,474
400,490
399,492
411,497
401,492
400,487
392,484
404,492
391,477
404,507
389,481
403,505
399,492
401,508
408,504
401,500
406,499
398,493
402,499
389,480
396,488
390,486
408,498
416,494
427,521
415,480
400,484
400,485
392,480
418,499
399,492
394,479
388,491
376,456
385,489
384,472
396,500
366,451
405,512
405,501
406,511
400,495
402,503
410,502
399,489
409,500
399,488
402,491
394,477
403,495
397,478
402,486
389,473
394,479
397,486
408,492
400,489
415,479
392,481
398,485
394,486
393,495
389,483
401,502
395,486
397,503
398,487
399,504
398,492
403,497
403,498
399,487
412,502
392,482
406,490
395,480
394,480
389,466
396,485
394,476
396,484
405,483
403,496
403,482
399,490
396,478
388,485
387,483
396,495
398,489
396,503
394,487
404,508
408,506
401,499
406,500
397,492
400,493
394,487
407,494
390,480
401,487
390,473
401,491
394,480
392,477
392,479
409,499
399,494
404,491
400,491
391,477
389,480
407,500
394,486
387,485
389,479
398,501
391,482
401,508
403,497
412,508
397,494
408,497
409,503
399,485
401,495
406,487
400,493
395,473
400,492
401,484
395,488
418,498
417,514
401,484
393,489
386,470
391,490
385,472
392,497
392,482
388,490
395,487
392,495
394,488
404,507
405,498
397,495
410,503
397,487
407,497
399,483
402,495
396,476
389,481
401,478
382,469
396,473
397,488
405,484
393,490
399,464
390,490
391,472
397,495
398,496
395,490
385,479
392,490
397,488
397,501
399,489
397,501
417,505
398,494
414,502
401,493
408,493
392,479
401,491
394,477
396,479
384,467
391,478
388,475
400,484
395,479
405,495
386,472
400,488
393,481
391,491
390,478
395,498
398,494
389,496
402,491
387,496
394,485
396,490
410,496
404,486
403,497
394,487
400,491
402,481
396,487
400,479
398,491
394,473
391,480
399,491
400,488
392,487
396,485
395,487
396,487
398,489
396,488
395,486
396,486
396,487
397,488
400,492
396,487
396,486
396,487
396,487
396,487
396,487
396,490
396,487
396,487
396,488
396,487
396,487
396,488
396,487
396,488
396,487
396,487
402,481
397,485
401,482
404,492
403,486
413,501
409,496
397,472
395,479
380,484
395,480
401,500
392,483
394,494
393,488
400,504
395,492
402,503
401,501
408,500
403,500
401,491
403,502
397,480
401,490
391,485
399,484
388,473
398,483
385,468
405,496
396,481
406,498
403,490
398,489
391,478
398,495
390,478
393,491
385,479
397,500
394,490
390,495
401,493
392,498
392,489
388,492
401,487
397,482
402,487
397,489
407,490
399,475
396,484
397,475
395,492
400,477
401,494
415,488
402,499
393,471
388,492
388,468
388,494
379,470
392,502
381,481
389,503
403,503
403,505
406,500
394,497
418,505
392,488
402,492
388,485
409,491
401,484
397,481
390,470
391,480
393,466
393,489
395,477
410,503
401,479
394,488
387,470
401,499
387,479
404,508
389,480
405,508
400,505
403,506
400,492
396,498
403,498
390,492
393,483
393,482
384,480
413,496
392,483
411,493
407,499
395,474
400,483
405,483
401,490
396,480
411,503
401,464
411,500
388,480
383,484
394,485
388,494
386,484
398,507
392,488
391,501
403,498
398,502
406,499
398,492
402,495
396,487
402,492
384,474
410,495
395,480
402,491
390,474
408,496
403,487
402,495
401,487
408,502
391,476
395,487
395,485
391,487
385,485
402,505
401,495
397,506
410,507
404,509
409,500
408,500
406,498
405,495
401,494
400,487
403,490
400,491
